feature,importance
precipitation_mm,25.659193165462305
hand_m,24.40085758655149
runoff_mm,13.02805171968988
soil_moisture_0_10,13.019698817978695
elevation_m,4.889793283158413
rain_3h_mm,4.188200676374482
drainage_density_km_per_km2,4.0139878716978945
rain_12h_mm,1.607656611101633
rain_24h_mm,1.1801909060621174
surface_pressure_hPa,1.1321263611372054
rain_72h_mm,1.004844373347574
rain_6h_mm,0.6981142552433759
distance_to_river_m,0.6829769071512687
rain_7d_mm,0.577702234241414
relative_humidity_pct,0.5363747065872267
builtup_fraction,0.5327760963867849
impervious_fraction,0.2514873535230512
road_density,0.23362515723662355
air_temperature_2m_C,0.2071724275619504
dewpoint_temperature_2m_C,0.1916968686293729
soil_moisture_anomaly,0.1864659664009322
slope_deg,0.18010801468964532
wind_u_10m_ms,0.17401426253109487
catchment_area_km2,0.15867724265644606
state,0.15493586522935515
rainfall_anomaly_7d,0.1457464715938599
building_density,0.14225675252062575
wind_v_10m_ms,0.13799081712869535
wind_speed_10m_ms,0.13085324265618822
flow_accumulation,0.11578544885699811
district,0.11008567962234572
longitude,0.10998830828496023
surface_water_occurrence,0.1088117740546278
latitude,0.10775277465146582
