state,district,latitude,longitude,region_id
Assam,Bajali,24.29936,93.12961,4
Assam,Bajali,27.33245,91.55669,2
Assam,Bajali,27.13573,95.90042,1
Assam,Bajali,26.237,90.35142,2
Assam,Bajali,25.97224,92.77204,3
Assam,Bajali,26.38925,94.34501,1
Assam,Bajali,24.44893,93.96126,4
Assam,Bajali,26.88774,95.48057,1
Assam,Bajali,27.73877,95.66608,1
Assam,Bajali,27.46321,91.08513,2
Assam,Bajali,27.97934,90.74972,2
Assam,Bajali,26.44115,95.34281,1
Assam,Bajali,26.46091,91.06028,2
Assam,Bajali,27.52653,93.12251,1
Assam,Bajali,26.89376,95.42702,1
Assam,Bajali,26.78585,91.39791,2
Assam,Bajali,26.53476,94.13488,1
Assam,Bajali,25.43607,94.32141,4
Assam,Bajali,24.7474,90.05096,3
Assam,Bajali,27.63525,91.39668,2
Assam,Bajali,24.7306,92.43238,3
Assam,Bajali,26.69287,93.09691,1
Assam,Bajali,26.01488,93.22722,4
Assam,Bajali,27.71777,95.52553,1
Assam,Bajali,24.13708,92.08095,3
Assam,Bajali,27.60554,95.99211,1
Assam,Bajali,25.47352,94.23134,4
Assam,Bajali,24.41678,93.62934,4
Assam,Bajali,25.20126,94.15622,4
Assam,Bajali,25.09051,91.85652,3
Assam,Bajali,28.04773,89.61612,2
Assam,Bajali,24.15322,92.36746,3
Assam,Bajali,26.66563,91.80033,2
Assam,Bajali,27.52663,94.34735,1
Assam,Bajali,25.56511,95.78743,4
Assam,Bajali,24.41821,91.53323,3
Assam,Bajali,24.37293,92.62747,3
Assam,Bajali,25.30629,90.06845,3
Assam,Bajali,27.99376,91.03776,2
Assam,Bajali,26.10388,91.36,3
Assam,Bajali,26.59381,95.53675,1
Assam,Bajali,26.95241,93.55118,1
Assam,Bajali,26.12354,92.95962,4
Assam,Bajali,27.88242,93.41264,1
Assam,Bajali,27.60082,93.48916,1
Assam,Bajali,26.95872,95.46966,1
Assam,Bajali,27.06303,89.85645,2
Assam,Bajali,26.38073,93.63527,1
Assam,Bajali,24.47364,92.47433,3
Assam,Bajali,24.74152,91.53593,3
Assam,Bajali,24.2093,95.26433,4
Assam,Bajali,24.4741,93.91169,4
Assam,Bajali,26.87072,90.9538,2
Assam,Bajali,26.50739,95.87703,1
Assam,Bajali,27.22331,90.974,2
Assam,Bajali,24.77397,90.92019,3
Assam,Bajali,25.49157,91.66546,3
Assam,Bajali,25.89673,92.42288,3
Assam,Bajali,26.05987,93.37349,4
Assam,Bajali,25.73378,93.25287,4
Assam,Bajali,24.19096,93.46297,4
Assam,Bajali,26.51422,91.70585,2
Assam,Bajali,26.74345,91.4318,2
Assam,Bajali,24.58141,90.01127,3
Assam,Bajali,26.68956,94.11934,1
Assam,Bajali,26.48321,90.59874,2
Assam,Bajali,25.91911,91.98644,3
Assam,Bajali,25.7355,89.82956,3
Assam,Bajali,27.73855,95.7321,1
Assam,Bajali,27.43041,90.46182,2
Assam,Bajali,25.09013,93.98473,4
Assam,Bajali,26.03775,94.86218,4
Assam,Bajali,25.2115,89.93198,3
Assam,Bajali,27.25292,95.21993,1
Assam,Bajali,25.463,95.30305,4
Assam,Bajali,28.14982,91.61879,2
Assam,Bajali,24.56661,95.45706,4
Assam,Bajali,27.66102,91.15607,2
Assam,Bajali,25.20704,91.36071,3
Assam,Bajali,27.33979,91.14014,2
Assam,Bajali,26.06064,93.39381,4
Assam,Bajali,26.26171,91.46026,2
Assam,Bajali,26.12777,92.91619,4
Assam,Bajali,25.91047,92.18682,3
Assam,Bajali,25.56593,92.68465,3
Assam,Bajali,25.21829,94.26276,4
Assam,Bajali,25.39333,95.14622,4
Assam,Bajali,26.00844,94.41185,4
Assam,Bajali,27.2353,92.16404,2
Assam,Bajali,25.79647,90.92108,3
Assam,Bajali,25.91401,95.93502,4
Assam,Bajali,24.24526,93.84676,4
Assam,Bajali,27.92135,95.69886,1
Assam,Bajali,24.46762,91.14329,3
Assam,Bajali,24.20811,93.57435,4
Assam,Bajali,27.89786,94.88301,1
Assam,Bajali,25.68134,93.45345,4
Assam,Bajali,25.45733,94.56171,4
Assam,Bajali,25.54867,92.06521,3
Assam,Bajali,24.65867,90.67711,3
Assam,Bajali,26.35691,90.48257,2
Assam,Bajali,25.91317,95.98185,4
Assam,Bajali,24.79355,94.55812,4
Assam,Bajali,26.29857,94.99891,1
Assam,Bajali,27.02277,90.11372,2
Assam,Bajali,24.53974,91.92707,3
Assam,Bajali,28.17675,90.90708,2
Assam,Bajali,26.89958,90.76538,2
Assam,Bajali,25.68411,94.06674,4
Assam,Bajali,25.22021,92.88516,4
Assam,Bajali,24.32497,92.23991,3
Assam,Bajali,24.50091,90.32854,3
Assam,Bajali,28.21072,89.76364,2
Assam,Bajali,25.77753,91.51285,3
Assam,Bajali,24.50682,90.87228,3
Assam,Bajali,28.20217,90.7083,2
Assam,Bajali,26.96231,93.08188,1
Assam,Bajali,25.56974,90.2319,3
Assam,Bajali,25.80565,95.20147,4
Assam,Bajali,25.80814,93.37798,4
Assam,Bajali,25.64852,92.12599,3
Assam,Bajali,27.33436,95.20287,1
Assam,Bajali,26.7763,93.42648,1
Assam,Bajali,27.19862,92.53983,2
Assam,Bajali,24.62487,92.15879,3
Assam,Bajali,26.33943,93.7363,1
Assam,Bajali,28.04525,92.85258,1
